БЕ,Дата транзакции,Сумма в RUB
5,2017-01-11,-44163004.64968152
5,2017-01-18,-29600464.675159235
5,2017-01-25,-41897071.560509555
5,2017-02-08,-20985539.713375796
5,2017-02-15,-43735942.280254774
5,2017-02-22,-94343643.43949044
5,2017-03-01,-610157.6687898089
5,2017-03-09,-44052839.050955415
5,2017-03-15,-21311137.433121018
5,2017-03-22,-35788704.85987261
5,2017-03-29,-9521065.388535032
5,2017-04-05,-23493986.356687896
5,2017-04-12,-21575253.261146493
5,2017-04-19,-20798918.089171972
5,2017-04-26,-39515717.98089172
5,2017-05-03,-1377501.8980891719
5,2017-05-10,-43854867.7388535
5,2017-05-17,-22523934.019108277
5,2017-05-24,-42644523.089171976
5,2017-06-07,-21586242.987261146
5,2017-06-14,-21674455.03184713
5,2017-06-21,-12826416.828025479
5,2017-06-28,-52579426.28025478
5,2017-07-05,-26425774.146496814
5,2017-07-12,-20610889.649681527
5,2017-07-19,-43493746.85350318
5,2017-07-26,-19076696.78343949
5,2017-08-02,-26992170.07006369
5,2017-08-09,-22660012.777070064
5,2017-08-16,-21368874.585987262
5,2017-08-23,-44973373.63694267
5,2017-09-13,-48824516.75159235
5,2017-09-20,-22931880.509554137
5,2017-09-27,-47125339.235668786
5,2017-10-11,-48171200.70063694
5,2017-10-18,-49178601.32484076
5,2017-10-25,-15874569.363057323
5,2017-11-01,-1103.9235668789809
5,2017-11-08,-47073507.22929936
5,2017-11-15,-22540528.414012738
5,2017-11-22,-51215462.3566879
5,2017-11-29,-687831.5923566879
5,2017-12-13,-50147050.91719745
5,2017-12-20,-55396774.22292993
5,2017-12-27,-18603240.222929936
5,2018-01-10,-49926350.91719745
5,2018-01-17,-55667259.34394904
5,2018-01-24,-14903739.777070062
5,2018-02-07,-2201708.617834395
5,2018-02-14,-51436597.598726116
5,2018-02-21,-53025043.27388535
5,2018-02-28,-17943726.515923567
5,2018-03-14,-53253035.71337579
5,2018-03-21,-52889018.031847134
5,2018-03-28,-10044671.318471337
5,2018-04-11,-51477378.63694267
5,2018-04-18,-56674270.5477707
5,2018-04-25,-10231795.19745223
5,2018-05-10,-51988600.9044586
5,2018-05-16,-30235506.872611463
5,2018-05-23,-37585139.75159235
5,2018-05-30,-65172464.08280254
5,2018-06-13,-49310115.10191082
5,2018-06-20,-27700482.140127387
5,2018-06-27,-41694330.04458599
5,2018-07-11,-52723032.216560505
5,2018-07-18,-51046979.401273884
5,2018-07-25,-12645416.43312102
5,2018-08-08,-24484639.636942673
5,2018-08-15,-53616233.22292993
5,2018-08-22,-48392242.57961783
5,2018-08-29,-1082885.025477707
5,2018-09-12,-55462872.031847134
5,2018-09-19,-55128280.401273884
5,2018-09-26,-17590730.719745222
5,2018-10-10,-54261620.522292994
5,2018-10-17,-53165887.44585987
5,2018-10-24,-11851336.242038215
5,2018-11-07,-958529.5477707005
5,2018-11-14,-53314381.095541395
5,2018-11-21,-60918403.87261146
